"Unique Name","Title","Resource URL title","Resource URL","Creator"
"facebook-australian-army","Australian Army","Australian Army","https://www.facebook.com/TheAustralianArmy","Department of Defence"
"twitter-australian-army","Australian Army","@AustralianArmy","https://twitter.com/AustralianArmy","Department of Defence"
"facebook-australian-astronomical-observatory","Australian Astronomical Observatory","Australian Astronomical Observatory","https://www.facebook.com/AustralianAstronomicalObservatory","Department of Industry, Innovation and Science"
"youtube-australian-astronomical-observatory","Australian Astronomical Observatory","Australian Astronomical Observatory","https://www.youtube.com/user/AAOAstro","Department of Industry, Innovation and Science"
"linkedin-australian-border-force","Australian Border Force","Australian Border Force","https://www.linkedin.com/company/australian-customs-and-border-protection-service","Australian Border Force"
"instagram-australian-border-force","Australian Border Force","@ausborderforce","https://www.instagram.com/ausborderforce/","Australian Border Force"
"facebook-australian-border-force","Australian Border Force","Australian Border Force","https://www.facebook.com/AustralianBorderForce","Australian Border Force"
"rss-austn-border-force","Australian Border Force","Newsroom RSS (XML feed)","http://newsroom.border.gov.au/rss","Department of Home Affairs"
"flickr-abc-archives","Australian Broadcasting Corporation","ABC Archives","https://www.flickr.com/photos/abcarchives/","Australian Broadcasting Corporation"
"linkedin-australian-building-codes-board","Australian Building Codes Board (ABCB)","Australian Building Codes Board (ABCB)","https://www.linkedin.com/company/3675666","Australian Building Codes Board"
"facebook-abcb","Australian Building Codes Board (ABCB)","Australian Building Codes Board (ABCB)","https://www.facebook.com/ABCB.NCC","Australian Building Codes Board"
"facebook-abares-1","Australian Bureau of Agricultural & Resource Economics & Sciences (ABARES)","Australian Bureau of Agricultural &amp; Resource Economics &amp; Sciences (ABARES)","https://www.facebook.com/pages/Australian-Bureau-of-Agricultural-Resource-Economics-Sciences-ABARES/157609254289602","Department of Agriculture and Water Resources"
"rss-australian-bureau-of-statistics","Australian Bureau of Statistics","RSS feeds","http://www.abs.gov.au/websitedbs/D3310114.nsf/home/rss%20help","Australian Bureau of Statistics"
"instagram-absstats","Australian Bureau of Statistics","absstats","http://www.instagram.com/absstats","Australian Bureau of Statistics"
"facebook-australian-bureau-of-statistics","Australian Bureau of Statistics","Australian Bureau of Statistics","https://www.facebook.com/absstats","Australian Bureau of Statistics"
"youtube-australian-cane-learning-centre","Australian Cane Learning Centre","Australian Cane Learning Centre","https://www.youtube.com/user/australianCLC","Sugar Research Australia"
"rss-australian-centre-for-international-agricultural-research","Australian Centre for International Agricultural Research","RSS feeds","http://aciar.gov.au/RSSfeeds","Australian Centre for International Agricultural Research"
"flickr-aciar","Australian Centre for International Agricultural Research (ACIAR)","ACIAR Australia","https://www.flickr.com/photos/aciar1/","Australian Centre for International Agricultural Research"
"facebook-australian-charities-and-not-for-profits-commission","Australian Charities and Not-for-profits Commission","Australian Charities and Not-for-profits Commission","https://www.facebook.com/ACNC.gov.au","Australian Charities and Not-for-profits Commission"
